Row,Namn,Utv. 1 år,Utv. 3 år,Utv. 5 år,Total avgift,Risk,Antal ägare ▼
170,IKC Fastighetsfond A,"-7,95","4,28","1,02","1,39",5,6 535
171,Pareto Sverige D,"9,78",#N/A,#N/A,"0,66",4,6 488
172,Öhman Marknad USA A,"-3,52","66,47","101,31","0,67",4,6 354
173,Handelsbanken Sverige 100 Index (A1 SEK),"12,11","44,49","57,25","0,24",4,6 240
174,Swedbank Robur Small Cap USA A,"-0,64","56,85","65,22","1,48",5,6 164
175,Handelsbanken USA Index (B1 SEK),"-1,64","64,76","107,66","0,22",4,6 132
176,DNB USA Indeks S,"-2,70","64,68","110,32","0,22",4,5 722
177,SEB USA Indexnära D USD - Lux utd,"-2,81","67,88","105,03","0,31",4,5 683
178,UBS European Opportunity Uncons EUR PAcc,"5,31","20,55","39,98","2,62",4,5 603
179,East Capital Balkans A1 SEK,"22,82","114,17","200,15","3,08",4,5 557
180,Carnegie Indienfond A,"-19,63","7,81","33,26","2,55",4,5 536
181,Carnegie Sverigefond A,"12,39","48,73","62,48","1,42",4,5 503
182,Invesco Emerging Mkt Eq A USD AD,"13,07","47,63","62,82","2,07",4,5 435
183,AuAg Precious Green A,"38,92","34,81","70,22","1,43",4,5 425
184,AMF Aktiefond Sverige,"6,91","37,74","40,28","0,48",5,5 407
185,AuAg Essential Metals A,"51,98",#N/A,#N/A,"1,42",5,5 379
186,SEB Sverige Småbol C/R utd,"-5,88","29,45","28,40","1,52",5,5 345
187,SEB Global Focus C USD,"-9,39","35,37","72,70","1,82",4,5 302
188,Evli GEM B,"2,89","36,37","57,50","2,01",4,5 244
189,BNP Clean Energy Solutions - C C,"31,55","-15,81","-45,53","2,27",6,5 128
190,D&G Global All Cap,"-14,14","9,82","28,65","1,75",4,5 102
191,Lancelot Sverige B,"-2,08","63,65","19,03","1,95",4,5 078
192,Avanza 50,"1,88","25,72","31,77","0,64",3,5 031
193,Nordea Klimatfond BP SEK,"-5,54","18,03","45,91","1,94",4,5 009
194,Swedbank Robur Healthcare A,"-6,09","2,53","44,09","1,32",4,4 991
195,Allianz Europe Equity Growth A EUR,"-11,54","9,84","11,57","1,88",5,4 979
196,Swedbank Robur Fastighet A,"-13,04","4,07","14,77","1,30",4,4 975
197,Jupiter Gold & Silver L USD Acc,"136,36","201,11","184,54","1,80",6,4 967
198,Nordea Indienfond,"-19,25","22,85","83,32","2,72",4,4 955
199,Allianz Global Artfcl Intlgc AT EUR,"-4,26","75,45","29,33","2,26",5,4 944
200,SEB Läkemedelsfond,"-0,43","17,20","58,63","1,73",4,4 840
201,Fidelity Global Technology A-Dis-EUR,"1,50","82,55","120,31","2,27",4,4 823
202,DNB Health Care S,"-0,93","6,71","59,57","1,33",4,4 799
203,AMF Företagsobligationsfond,"3,57","17,60","14,39","0,15",2,4 772
204,Carnegie Listed Private Equity A,"-9,61","58,16","89,88","1,58",4,4 587
205,Länsförsäkringar Småbolag Sverige Vis A,"-6,22","14,57","1,25","1,63",4,4 532
206,Evli Global B,"-6,51","22,66","64,33","1,70",4,4 463
207,Swedbank Robur USA A,"-4,78","52,72","74,02","1,31",4,4 406
208,Humle Småbolagsfond A,"-4,02","16,98","25,20","1,64",5,4 361
209,CPR Invest Global Gold Mines A USD Acc,"121,88","179,16","187,23","2,24",6,4 345
210,Handelsbanken Svenska Småbolag (A1 SEK),"-3,78","10,34","-12,56","1,61",5,4 250
211,Templeton Em Mkts Smlr Coms A(acc)USD,"-9,32","16,76","50,19","2,55",4,4 157
212,DNB Norden Indeks S,"6,73","26,18","50,52","0,22",4,4 136
213,BNP Paribas Turkey Equity Classic R,"-21,92","20,52","130,60","2,87",6,4 122
214,SKAGEN Kon-Tiki A,"18,82","41,06","47,40","1,91",4,4 034
215,DNB European Defence S,#N/A,#N/A,#N/A,"1,77",4,4 004
216,Carnegie All Cap A,"3,37","25,43","33,98","1,50",4,3 979
217,Carnegie US Small & Micro Cap,"-13,62","26,56","61,56","1,66",4,3 974
218,Robeco Smart Energy D-EUR Cap,"15,54","41,91","71,19","1,86",5,3 906
219,MetaSpace Fund A,"25,71","133,64","86,75","1,66",5,3 898
220,Länsförsäkringar Global Vision A,"0,88","58,55","88,40","1,54",4,3 880
221,Allianz Cyber Security AT USD Acc,"-8,42","76,52",#N/A,"2,19",5,3 874
222,Handelsbanken Global Momentum (A1 SEK),"4,04","68,34",#N/A,"0,73",4,3 861
223,AMF Aktiefond Tillväxtmarknader,"13,11","36,59","31,18","0,49",4,3 830
224,Pareto Räntefond A,"4,17","19,08","20,48","0,29",2,3 824
225,Storebrand Global Value A,"-0,14","43,18","103,79","0,76",4,3 790
226,Swedbank Robur Småbolagsfond Norden A,"6,93","20,34","7,68","1,42",4,3 743
227,Swedbank Robur Access Sverige A,"13,11","42,33","48,52","0,33",4,3 720
228,Lannebo FRN A,"3,82","17,25","15,77","0,74",2,3 653
229,Swedbank Robur New Energy A,"24,22","19,27","23,34","1,39",4,3 644
230,C Worldwide Sweden Small Cap 1A,"0,44","38,26","8,11","1,68",5,3 596
231,Öhman Marknad Global A,"0,55","60,74","91,66","0,43",4,3 583
232,Carnegie Small & Micro Cap,"0,68","-3,95","-8,98","1,68",4,3 581
233,Swedbank Robur Small Cap EM A,"6,16","32,53","66,39","1,74",4,3 570
234,Skandia Europa Exponering,"10,17","44,28","76,96","0,31",4,3 567
235,Carnegie Obligationsfond A,"0,89","7,50","-5,49","0,57",2,3 530
236,SEB Global All Countries Idx C USD - Lux,"1,18","57,86","85,21","0,47",4,3 478
237,Storebrand Renewable Energy A2,"20,19","-24,42",#N/A,"1,07",5,3 478
238,Länsförsäkringar Lång Räntefond A,"-1,51","4,50","-1,20","0,58",2,3 473
239,SEB Dynamisk Aktiefond,"-3,38","45,05","88,96","1,54",4,3 468
240,Swedbank Robur Emerging Europe A,"17,85",#N/A,#N/A,"1,66",5,3 467
241,BGF World Energy A2,"-7,72","0,18","146,84","2,63",5,3 417
242,SEB Nordamerikafond Småbolag,"-8,70","33,05","19,40","2,28",5,3 412
243,Finserve Chelverton Global Tech Fund A,"5,48","119,43","100,80","1,54",5,3 407
244,DNB Global Emerging Markets Indeks S,"10,40","34,83","33,12","0,36",4,3 390
245,C Worldwide Emerging Markets 1C,"-2,63","15,16","0,62","2,40",4,3 370
246,SEB Europa Indexnära C EUR - Lux,"11,96","48,03","78,82","0,35",4,3 322
247,BGF Next Generation Technology A2,"1,67","77,67","11,31","2,70",5,3 305
248,Go Blockchain Fund A,"6,38","115,47",#N/A,"1,42",5,3 236
248,Go Blockchain Fund A,"6,38","115,47",#N/A,"1,42",5,3 236
